,Indentification,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Degree Centrality,Node
0,Binance,0.273892213421851,0.2762193728664115,0.6979078007205464,0.1145889306824288,0x28c6c06298d514db089934071355e5743bf21d60
1,Binance,0.2417259460287838,0.0465304308612725,0.0582418383400223,0.029554003224073,0x9696f59e4d72e237be84ffd425dcad154bf96976
2,Binance,0.2407481781572068,0.0410081584098929,0.0651888282022438,0.0284793121977431,0x4976a4a02f38326660d17bf34b431dc6e2eb2327
3,Binance,0.2390293156625547,0.040196682454124,0.0604068676361145,0.0268672756582482,0x56eddb7aa87536c09ccc2793473599fd21a8b17f
4,Binance,0.2331003900782354,0.027761049783959,0.0458805656858204,0.0212251477700161,0xdfd5293d8e347dfe59e90efd55b2956a1343963d
5,Binance,0.2329230118055376,0.0240618111667097,0.0502258326191915,0.0181354110693175,0x21a31ee1afc51d94c2efccaa2092ad1028285549
6,,0.2325816863608293,0.0267341124226314,,,0xedc7001e99a37c3d23b5f7974f837387e09f9c93
7,,0.224856625626943,,0.032334620643368,,0x56e43d4f29a62a835aacd36db2725151874acca6
8,FTX,0.2242330370571022,0.0798994900267651,,0.0413756045137023,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94
9,,0.223601229908598,0.0153707082710541,,,0xe5782724e87bcd5a1f48737ff6cfeaf875ab5873
10,,0.2231471345135534,,,,0x86904e32b0d7a8e1ab4dc4a02bae7ff93e9a2d33
11,,0.2224174791715513,,,,0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1
12,,0.2200871845923825,,,,0x118b7a93b8ac5ed72564e4949c207ea8404f1304
13,,0.219658494602403,,,,0x66b1c858f04d8d06fc2b06627beb22dc4b089a9c
14,,0.2182155805681984,,,,0x72aafba75261a7b29fa65d79cae1ec10cf41538d
15,Kraken,0.2174405100060016,0.0364337789020053,,0.021762493283181,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0
16,,0.2167366766739976,,,,0x73f9b272abda7a97cb1b237d85f9a7236edb6f16
17,,0.2163318477055015,,0.0317335584880374,,0x6594c9a52ecceb4189ac859210b3d1073813c3e4
18,Coinbase,0.2151695908414481,0.0573145252810459,,0.0240462117141321,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740
19,,0.2147490639538101,,,,0x22f1e4fa15c3c1dda5264234117975eaaca1fdf2
20,KuCoin,,0.0526087640582681,,0.0259269210102095,0x4ad64983349c49defe8d7a4686202d24b25d0ce8
21,Coinbase,,0.0398500704056007,,0.0198817839871037,0x3cd751e6b0078be393132286c442345e5dc49699
22,OKEx,,0.0342943335858876,,0.0235088662009672,0xa7efae728d2936e78bda97dc267687568dd593f3
23,Coinbase,,0.0294336020291865,,0.0165233745298226,0xeb2629a2734e272bcc07bda959863f316f4bd4cf
24,Gate,,0.0279773504619905,,0.0184040838259,0x0d0707963952f2fba59dd06f2b425ace40b492fe
25,Huobi,,0.0186688135604137,,0.0130306286942504,0xf66852bc122fd40bfecc63cd48217e88bda12109
26,Huobi,,0.0170273199548989,,0.0104782375067168,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404
27,Coinbase,,0.0170047221553001,,0.0114185921547555,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511
28,Celsius Network,,0.0153190656959277,,0.0098065556152606,0x4f6742badb049791cd9a37ea913f2bac38d01279
29,,,,0.0331270977191346,,0x4f52b520ce7b75ce0f39247f4da5342bcf2a3214
30,,,,0.0331270977191346,,0x12ef97e205cd3de60fb1c1e073403277be080fea
31,,,,0.0322637264710404,,0xc5ed2333f8a2c351fca35e5ebadb2a82f5d254c3
32,,,,0.0315733004977473,,0xd2017e49f99719f11caa06bd6a758e26cdbf1c3d
33,,,,0.031381607122111,,0x6c0d0424ee15ec5bebe84f371e0c6c9949d3a98b
34,,,,0.030249090046852,,0xe3792a9c235d434b702023b33f03c48c41631090
35,,,,0.0298722667698228,,0xb045eb06606bd1622d05a0885a1c29b85ef28c6f
36,,,,0.0296100468824001,,0x5dfadad1f2b6bb502cea3f1714d1cff6fd4fae83
37,,,,0.0296007775908564,,0x848d47d6a68fc0ce61e234257fa7024c59d331dc
38,,,,0.0296007775908564,,0xdd3b6dba6c0849b62b4f66347c3d89cf45d7ac64
39,,,,0.0295274162562318,,0x11c7f8beddaa009ee33709f6a957467e2825b0ad
40,,,,0.0289466778229235,,0x3f499b04a01d2bd272ae148b6f06ab95f3991cf2
41,,,,,0.0119559376679204,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b
42,Huobi,,,,0.0114185921547555,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b
